Sigla da UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Rede;Matemática;Língua Portuguesa;Nota Média Padronizada (N)
PR;4115200;Maringá;41024281;MARCO A PIMENTA C E EF M;Estadual;281.24;296.93;5.084574
PR;4115200;Maringá;41024419;APLICACAO PED DA UEM C DE EF M;Estadual;293.84;298.6;5.28654
PR;4115200;Maringá;41024494;PARQUE ITAIPU C E DO EF M;Estadual;;;
PR;4115200;Maringá;41024575;PLATAO C EI EF M;Privada;;;
PR;4115200;Maringá;41024630;RODRIGUES ALVES C E EF M;Estadual;297.06;307.66;5.467394
PR;4115200;Maringá;41024656;RUI BARBOSA C E EF M;Estadual;273.44;285.52;4.804215
PR;4115200;Maringá;41024680;SANTA MARIA GORETTI C E EF M PROFIS;Estadual;273.47;291.87;4.899696
PR;4115200;Maringá;41024729;SILVIO M BARROS C E EF M;Estadual;278.47;295.9;5.03025
PR;4115200;Maringá;41024761;TANCREDO DE A NEVES C E EF M PROFIS;Estadual;270.76;283.07;4.729898
PR;4115200;Maringá;41024788;THEOBALDO M SANTOS C E EF M;Estadual;274.97;288.91;4.876452
PR;4115200;Maringá;41024796;TOMAZ E DE A VIEIRA C E C M EF M PROFIS;Estadual;265.15;271.98;4.485088
PR;4115200;Maringá;41024826;COLEGIO OBJETIVO UNIDADE MARINGA;Privada;;;
PR;4115200;Maringá;41024834;UNIDADE POLO C E EF M PROFIS;Estadual;273.54;280.81;4.735111
PR;4115200;Maringá;41024869;VINICIUS DE MORAES C E C M EF M;Estadual;261.81;278.16;4.530693
PR;4115200;Maringá;41160517;POL MILITAR C DA EF M;Estadual;314.65;314.7;5.819834
PR;4115200;Maringá;41357000;TANIA V FERREIRA C E EF M PROFIS;Estadual;269.19;290.81;4.823716
PR;4115200;Maringá;41377370;COLEGIO BOM JESUS CARLOS DEMIA EIEFEM;Privada;;;
PR;4115200;Maringá;41388135;COLEGIO SESI PARANA ENSINO FUAMENTAL E MEDIO;Privada;;;
PR;4115309;Mariópolis;41092970;ARTHUR C E SILVA C E PRES EF M PROFIS;Estadual;298.55;289.88;5.222153
PR;4115358;Maripá;41065859;CASTRO ALVES C E EF M;Estadual;;;
PR;4115358;Maripá;41065930;PIO XII C E EF M PROFIS;Estadual;309.03;292.71;5.411709
PR;4115408;Marmeleiro;41086775;BOM JESUS C E C EF M;Estadual;289.89;268.78;4.784656
PR;4115408;Marmeleiro;41086945;MARMELEIRO C E DE EF M PROFIS;Estadual;278.65;290.57;4.952988
PR;4115457;Marquinho;41098862;JOAO RYSICZ C E EF M PROFIS;Estadual;280.68;282.1;4.854703
PR;4115507;Marumbi;41035585;MARUMBI C E EF M;Estadual;267.69;280.16;4.643217
PR;4115606;Matelâia;41077172;EUCLIDES DA CUNHA C E E F M N PROFIS;Estadual;278.12;282.69;4.82758
PR;4115606;Matelâia;41077342;RUI BARBOSA C E C EF M;Estadual;291.23;292.9;5.164554
PR;4115606;Matelâia;41077377;SAO JOAO B DE LA SALLE C E C EF M;Estadual;;;
PR;4115705;Matinhos;41139976;GABRIEL DE LARA C E EF M PROF;Estadual;279.61;294.75;5.029046
PR;4115705;Matinhos;41140052;SERTAOZINHO C E E F M N PROFIS;Estadual;265.3;279.97;4.606805
PR;4115705;Matinhos;41140060;TEREZA DA S RAMOS C E PROFA EF M;Estadual;;;
PR;4115705;Matinhos;41373650;MUSTAFA SALOMAO C E EF M;Estadual;268.72;277.72;4.621157
PR;4115739;Mato Rico;41095065;ADELIA BIANCO SEGURO C E EF M;Estadual;278.81;289.98;4.946403
PR;4115739;Mato Rico;41372514;BELA VISTA C E C EF M;Estadual;;;
PR;4115754;Mauá da Serra;41028066;JOAO PLATH C E EF M N PROFIS;Estadual;273.33;291.53;4.89264
PR;4115804;Medianeira;41077512;ARTHUR DA C SILVA C E MAL EF M PROFIS;Estadual;275.5;283.85;4.808148
PR;4115804;Medianeira;41077733;JOAO M MORONE C E EF M PROFIS N;Estadual;299.07;306.96;5.485145
PR;4115804;Medianeira;41078101;TANCREDO NEVES C E C M EF M PROFIS;Estadual;286.82;275.41;4.840789
PR;4115804;Medianeira;41144333;NAIRA FELLINI C E C M EF M PROFIS;Estadual;294.57;297.51;5.280476
PR;4115804;Medianeira;41379004;BELO HORIZONTE C E EF M PROFIS;Estadual;279.97;274.8;4.73545
PR;4115804;Medianeira;41389336;MARALUCIA C E C EF M;Estadual;294.19;277.43;4.97454
PR;4115853;Mercedes;41066073;LEONILDA PAPEN C E EF M;Estadual;299.96;315.88;5.631178
PR;4115903;Mirador;41001427;PEDRO V P DE SOUZA C E EF M;Estadual;247.92;260,00;4.063752
PR;4116000;Miraselva;41021819;ARNALDO BUSATO C E EF M;Estadual;241.96;239.31;3.670314
PR;4116059;Missal;41078497;TEOTONIO VILELLA C E DO C EF M;Estadual;274.76;281.62;4.764371
PR;4116059;Missal;41527844;EDUARDO MICHELIS C E PE EF M N PROFIS;Estadual;297.88;288.64;5.19418
